"","Date","LunarPhase","RainPreviousDay","TitiCount","TotalCallTime","today_average_temp","today_min_temp","lastnight_average_temp","lastnight_min_temp","Year"
"1",2013-02-08,"New",0,3,982,26.75,23.5,25.04166667,23.5,"2013"
"2",2013-02-09,"New",0,0,0,24.45833333,22.5,25.45833333,22.5,"2013"
"3",2013-02-10,"New",71.4,1,141,23.89583333,22.5,24.45833333,23.5,"2013"
"4",2013-02-11,"New",48.8,0,0,24.89583333,23,23,22.5,"2013"
"5",2013-02-12,"New",1,0,0,24.72916667,23,23.95833333,23,"2013"
"6",2013-02-13,"New",0,0,0,24.45833333,22.5,23.79166667,23,"2013"
"7",2013-02-14,"Waxing",1.4,0,0,25.16666667,22.5,23.5,22.5,"2013"
"8",2013-02-15,"Waxing",0,0,0,24.4375,22,24.375,23.5,"2013"
"9",2013-02-16,"Waxing",7.2,1,180,22.9375,22,22.95833333,22,"2013"
"10",2013-02-17,"Waxing",15.8,0,0,23.75,22,22.5,22,"2013"
"11",2013-02-18,"Waxing",1.6,0,0,24.33333333,22.5,23,22.5,"2013"
"12",2013-02-19,"Waxing",7.2,1,87,23.58333333,22.5,23.54166667,22.5,"2013"
"13",2013-02-20,"Waxing",14,0,0,22.70833333,22,23.33333333,22,"2013"
"14",2013-02-21,"Waxing",NA,0,0,23.39583333,22,22.45833333,22,"2013"
"15",2013-02-22,"Full",59.6,1,50,22.95833333,22.5,22.95833333,22.5,"2013"
"16",2013-02-23,"Full",15.6,0,0,22.95833333,22,22.41666667,22,"2013"
"17",2013-02-24,"Full",5,0,0,24.39583333,22,22.75,22,"2013"
"18",2013-02-25,"Full",2.8,0,0,25.70833333,23.5,24.29166667,23.5,"2013"
"19",2013-02-26,"Full",10.2,0,0,24.89583333,23,24.54166667,23.5,"2013"
"20",2013-02-27,"Full",36.8,0,0,24.16666667,22.5,23.25,22.5,"2013"
"21",2013-02-28,"Full",11,0,0,25.02083333,23,23.91666667,23,"2013"
"22",2013-03-01,"Waning",22.2,0,0,24.54166667,22.5,24.41666667,23,"2013"
"23",2013-03-02,"Waning",17.8,6,2405,24.70833333,23,24.29166667,23.5,"2013"
"24",2013-03-03,"Waning",19.6,2,784,24.41666667,23,23.58333333,23,"2013"
"25",2013-03-04,"Waning",2.2,0,0,24.27083333,23,23.54166667,23,"2013"
"26",2013-03-05,"Waning",4.8,2,246,24.5,22,23.75,22.5,"2013"
"27",2014-02-03,"New",0.8,0,0,24.9375,22.5,NA,NA,"2014"
"28",2014-02-04,"Waxing",9.1,0,0,25.10416667,22,23.16666667,22,"2014"
"29",2014-02-05,"Waxing",0.4,7,2318,24.54166667,23.5,24.54166667,23.5,"2014"
"30",2014-02-06,"Waxing",0,3,886,23.5625,22.5,24.20833333,23.5,"2014"
"31",2014-02-07,"Waxing",8.8,7,1912,24.25,22.5,22.95833333,22.5,"2014"
"32",2014-02-08,"Waxing",8.5,0,0,24.16666667,22.5,23.375,22.5,"2014"
"33",2014-02-09,"Waxing",7.6,2,993,24.5,23,23.91666667,23,"2014"
"34",2014-02-10,"Waxing",6,0,0,23.97916667,22.5,24.125,23,"2014"
"35",2014-02-11,"Full",42.3,0,0,23.20833333,22,23.45833333,23,"2014"
"36",2014-02-12,"Full",49.2,0,0,23.39583333,21.5,22.04166667,21.5,"2014"
"37",2014-02-13,"Full",NA,0,0,23.04166667,22.5,23.5,22.5,"2014"
"38",2014-02-14,"Full",23,0,0,24.89583333,22,22.66666667,22,"2014"
"39",2014-02-15,"Full",2,0,0,24.72916667,22.5,25.5,24,"2014"
"40",2014-02-16,"Full",7.2,0,0,24.70833333,22,23,22,"2014"
"41",2014-02-17,"Full",0.8,0,0,24.91666667,22,23.66666667,22.5,"2014"
"42",2014-02-18,"Waning",6,0,0,25.95833333,22.5,24.125,23,"2014"
"43",2015-02-07,"Full",0,0,0,25.95833333,23,23.875,23,"2015"
"44",2015-02-08,"Waning",0,9,2131,26.47916667,22.5,24.70833333,23,"2015"
"45",2015-02-09,"Waning",0,0,0,25.35416667,23.5,25.16666667,23.5,"2015"
"46",2015-02-10,"Waning",10.4,0,0,24.29166667,23,24.33333333,23,"2015"
"47",2015-02-11,"Waning",0.4,0,0,23.29166667,22.5,23.79166667,23,"2015"
"48",2015-02-12,"Waning",47.6,1,319,23.77083333,23,23.33333333,23,"2015"
"49",2015-02-13,"Waning",2.6,0,0,24.10416667,22.5,23.29166667,22.5,"2015"
"50",2015-02-14,"Waning",0.2,0,0,23.41666667,22,23.83333333,23,"2015"
"51",2015-02-15,"New",17.4,0,0,22.91666667,22,22.45833333,22,"2015"
"52",2015-02-16,"New",5.6,0,0,24.375,23,23.16666667,22.5,"2015"
"53",2015-02-17,"New",1,0,0,25.6875,23,24.16666667,23,"2015"
"54",2015-02-18,"New",1.4,0,0,26.72916667,24,25.45833333,24,"2015"
"55",2015-02-19,"New",0,1,227,26.75,23,24.95833333,23,"2015"
"56",2015-02-21,"New",0,0,0,26.97916667,24.5,26.25,24.5,"2015"
"57",2015-02-22,"New",0,0,0,26.27083333,24,25.75,24.5,"2015"
"58",2016-01-26,"Full",0,0,0,28.75,24.5,27,25,"2016"
"59",2016-01-27,"Full",0,2,272,28.14583333,24,26.95833333,24.5,"2016"
"60",2016-01-28,"Waning",0,2,187,27.70833333,23.5,26.33333333,23.5,"2016"
"61",2016-01-29,"Waning",0,0,0,27.89583333,24.5,26.91666667,25,"2016"
"62",2016-01-30,"Waning",0,1,245,28.10416667,24.5,26.875,24.5,"2016"
"63",2016-01-31,"Waning",0,1,308,28.6875,25.5,27.45833333,26,"2016"
"64",2016-02-01,"Waning",0,1,78,28.375,24.5,26.91666667,24.5,"2016"
"65",2016-02-02,"Waning",0,0,0,25.16666667,24,26.54166667,24,"2016"
"66",2016-02-03,"Waning",12.5,2,233,25.27083333,23.5,24.41666667,23.5,"2016"
"67",2016-02-04,"New",0,1,172,26.9375,23.5,25.25,24,"2016"
"68",2016-02-07,"New",0,0,0,25.77083333,24,24.625,24,"2016"
"69",2016-02-09,"New",10.4,0,0,24.45833333,23,24.08333333,23.5,"2016"
"70",2016-02-10,"New",0,0,0,25.0625,23,24.125,23,"2016"
"71",2016-02-11,"New",74,0,0,24.47916667,23,24.66666667,23,"2016"
"72",2016-02-12,"Waxing",0,3,474,24.29166667,23.5,24.16666667,23.5,"2016"
"73",2016-02-13,"Waxing",6,0,0,24.58333333,23,23.58333333,23,"2016"
"74",2016-02-14,"Waxing",0.2,0,0,25.1875,23.5,24.70833333,24,"2016"
"75",2016-02-15,"Waxing",15.6,0,0,24.72916667,23,23.875,23,"2016"
"76",2016-02-22,"Full",22,0,0,25.625,23.5,24.66666667,23.5,"2016"
"77",2016-02-23,"Full",0,1,92,25.58333333,24,25.75,25,"2016"
"78",2016-02-24,"Full",0.2,0,0,24.45833333,23.5,24.29166667,24,"2016"
"79",2016-02-25,"Full",24.2,0,0,25.33333333,23.5,24.25,23.5,"2016"
"80",2017-02-12,"Full",74,0,0,27.35416667,24.5,25.91666667,24.5,"2017"
"81",2017-02-13,"Full",0,5,1552,27.35416667,23.5,26.16666667,23.5,"2017"
"82",2017-02-14,"Full",0,0,0,24.95833333,22.5,26,23,"2017"
"83",2017-02-15,"Waning",4,5,1248,24.64583333,23,24.5,23.5,"2017"
"84",2017-02-16,"Waning",0,3,717,24.41666667,22.5,23.54166667,22.5,"2017"
"85",2017-02-17,"Waning",0.6,2,717,25.47916667,23,24,23,"2017"
"86",2017-02-18,"Waning",0.2,1,340,24.95833333,21.5,23.95833333,22,"2017"
"87",2017-02-19,"Waning",5.6,5,700,26.20833333,23,24.79166667,23,"2017"
"88",2017-02-20,"Waning",0.4,3,671,26.3125,23,25.375,23.5,"2017"
"89",2017-02-21,"Waning",6,1,118,26.41666667,24,25.625,24,"2017"
"90",2017-02-22,"New",0,0,0,23.35416667,22,26.04166667,23.5,"2017"
"91",2017-02-23,"New",20.8,3,733,24.35416667,22,22.29166667,22,"2017"
"92",2017-02-24,"New",0.2,1,370,24.25,22,23.875,22,"2017"
"93",2017-02-25,"New",0.8,0,0,23.97916667,23,23.54166667,23,"2017"
"94",2017-02-26,"New",10.6,0,0,22.72916667,22,23.29166667,22.5,"2017"
